timestamp,open,high,low,close,volume,date,prev_close,gap,abs_gap,filled,fill_time,gap_size_bin,gap_direction,max_move_gap_direction_first_30min_pct,time_to_fill_minutes,reversal_after_fill,exit_time,move_before_reversal_fill_direction_pct,day_of_week,time_of_low,time_of_high,low_after_median,high_before_median
2015-05-28 04:00:00,110.75,111.01,110.37,110.71,17302408.0,2015-05-28,110.96,-0.189257390050463,0.189257390050463,True,2015-05-28 09:36:00-04:00,0.15-0.35%,down,0.2883922134102318,6.0,True,2015-05-28 09:50:00-04:00,0.0450612833453599,Thursday,14:36:00,13:36:00,True,True
2015-06-01 04:00:00,110.64,110.72,109.52,110.42,24570186.0,2015-06-01,110.05,0.5361199454793307,0.5361199454793307,True,2015-06-01 09:47:00-04:00,0.5-1%,up,0.0726942298955005,17.0,False,2015-06-01 16:00:00-04:00,,Monday,14:16:00,11:49:00,True,True
2015-06-02 04:00:00,110.01,110.61,109.47,110.07,19449634.0,2015-06-02,110.42,-0.371309545372212,0.371309545372212,True,2015-06-02 12:06:00-04:00,0.35-0.5%,down,0.4890418402463378,156.0,False,2015-06-02 16:00:00-04:00,,Tuesday,13:50:00,10:22:00,False,True
2015-06-03 04:00:00,110.57,110.81,110.13,110.4,20219208.0,2015-06-03,110.07,0.4542563823021713,0.4542563823021713,False,,0.35-0.5%,up,0.1181066593985733,,,,,Wednesday,09:37:00,11:52:00,False,True
2015-06-04 04:00:00,109.78,110.48,109.21,109.56,31374558.0,2015-06-04,110.4,-0.5615942028985548,0.5615942028985548,True,2015-06-04 10:01:00-04:00,0.5-1%,down,0.0724637681159404,31.0,True,2015-06-04 13:01:00-04:00,0.0724637681159404,Thursday,10:05:00,14:03:00,False,True
2015-06-09 04:00:00,107.93,108.4,107.2,108.01,27554599.0,2015-06-09,108.19,-0.2403179591459385,0.2403179591459385,True,2015-06-09 13:00:00-04:00,0.15-0.35%,down,0.4991219151492803,210.0,False,2015-06-09 16:00:00-04:00,,Tuesday,14:34:00,13:32:00,True,True
2015-06-10 04:00:00,108.38,109.81,108.26,109.49,30297862.0,2015-06-10,108.01,0.3425608739931398,0.3425608739931398,False,,0.15-0.35%,up,0.3518192759929725,,,,,Wednesday,13:33:00,15:16:00,False,False
2015-06-11 04:00:00,109.86,110.15,109.46,109.65,17593463.0,2015-06-11,109.49,0.3379304046031642,0.3379304046031642,True,2015-06-11 12:24:00-04:00,0.15-0.35%,up,0.2648643711754555,174.0,False,2015-06-11 16:00:00-04:00,,Thursday,14:39:00,13:51:00,True,True
2015-06-12 04:00:00,109.07,109.3,108.6,108.75,27201768.0,2015-06-12,109.65,-0.5289557683538645,0.5289557683538645,False,,0.5-1%,down,0.1823985408116631,,,,,Friday,15:00:00,10:24:00,True,True
2015-06-15 04:00:00,107.94,108.38,107.31,108.21,31238766.0,2015-06-15,108.75,-0.7448275862068986,0.7448275862068986,False,,0.5-1%,down,0.579310344827582,,,,,Monday,13:50:00,10:21:00,False,True
2015-06-17 04:00:00,108.98,109.45,108.43,109.1,23296738.0,2015-06-17,108.8,0.1654411764705945,0.1654411764705945,True,2015-06-17 11:29:00-04:00,0.15-0.35%,up,0.21139705882352,119.0,True,2015-06-17 14:40:00-04:00,0.3400735294117558,Wednesday,15:46:00,13:35:00,True,True
2015-06-18 04:00:00,109.5,110.88,109.44,110.69,42972384.0,2015-06-18,109.1,0.3666361136572004,0.3666361136572004,False,,0.35-0.5%,up,0.5774518790100783,,,,,Thursday,09:56:00,15:43:00,False,False
2015-06-19 04:00:00,110.49,110.575,109.81,109.89,27075074.0,2015-06-19,110.69,-0.1806847953744718,0.1806847953744718,False,,0.15-0.35%,down,0.3975065498238302,,,,,Friday,16:00:00,11:28:00,True,True
2015-06-22 04:00:00,110.7,111.03,110.45,110.7,19120898.0,2015-06-22,109.89,0.7371007371007392,0.7371007371007392,False,,0.5-1%,up,0.1729001729001708,,,,,Monday,12:05:00,15:23:00,False,False
2015-06-25 04:00:00,110.65,110.76,109.815,110.0,18326654.0,2015-06-25,110.22,0.3901288332426119,0.3901288332426119,True,2015-06-25 14:02:00-04:00,0.35-0.5%,up,0.0362910542551188,272.0,False,2015-06-25 16:00:00-04:00,,Thursday,13:42:00,10:24:00,False,True
2015-06-29 04:00:00,108.06,108.66,106.64,106.69,50874901.0,2015-06-29,109.27,-1.1073487691040484,1.1073487691040484,False,,1-1.5%,down,0.1555779262377612,,,,,Monday,15:39:00,13:46:00,True,True
2015-06-30 04:00:00,107.49,107.72,106.74,107.07,34809790.0,2015-06-30,106.69,0.7498359733808203,0.7498359733808203,False,,0.5-1%,up,0.0187458993345301,,,,,Tuesday,14:50:00,13:28:00,True,True
2015-07-01 04:00:00,108.13,108.3464,107.42,107.92,21058958.0,2015-07-01,107.07,0.9900065377790253,0.9900065377790253,False,,0.5-1%,up,0.1587746334173921,,,,,Wednesday,12:43:00,14:02:00,False,True
2015-07-02 04:00:00,108.23,108.32,107.62,107.95,20499447.0,2015-07-02,107.92,0.287249814677541,0.287249814677541,True,2015-07-02 10:09:00-04:00,0.15-0.35%,up,0.0833951074870174,39.0,False,2015-07-02 16:00:00-04:00,,Thursday,15:57:00,12:40:00,True,True
2015-07-06 04:00:00,107.27,108.32,107.04,107.7,24311020.0,2015-07-06,107.95,-0.629921259842526,0.629921259842526,True,2015-07-06 10:32:00-04:00,0.5-1%,down,0.2130616025937839,62.0,False,2015-07-06 16:00:00-04:00,,Monday,11:57:00,14:46:00,False,False
2015-07-08 04:00:00,107.2,107.33,105.8942,106.09,39677475.0,2015-07-08,107.97,-0.7131610632583089,0.7131610632583089,False,,0.5-1%,down,0.6020190793739054,,,,,Wednesday,15:56:00,11:14:00,True,True
2015-07-09 04:00:00,107.5,107.5955,106.02,106.03,28097543.0,2015-07-09,106.09,1.3290602318785905,1.3290602318785905,True,2015-07-09 14:32:00-04:00,1-1.5%,up,0.0900179093222747,302.0,False,2015-07-09 16:00:00-04:00,,Thursday,16:00:00,13:28:00,True,True
2015-07-10 04:00:00,107.44,108.05,107.05,107.65,26215825.0,2015-07-10,106.03,1.3298123172686944,1.3298123172686944,False,,1-1.5%,up,0.0330095256059573,,,,,Friday,14:45:00,15:46:00,True,False
2015-07-13 04:00:00,108.58,109.63,108.57,109.54,25780733.0,2015-07-13,107.65,0.8639108221086788,0.8639108221086788,False,,0.5-1%,up,0.5666511843938684,,,,,Monday,09:36:00,15:40:00,False,False
2015-07-15 04:00:00,110.47,110.81,110.07,110.38,28631537.0,2015-07-15,110.26,0.1904589152911243,0.1904589152911243,True,2015-07-15 14:42:00-04:00,0.15-0.35%,up,0.2085978596045746,312.0,False,2015-07-15 16:00:00-04:00,,Wednesday,13:41:00,15:09:00,False,False
2015-07-16 04:00:00,111.29,111.96,111.07,111.94,29838948.0,2015-07-16,110.38,0.8244247146222241,0.8244247146222241,False,,0.5-1%,up,0.1177749592317407,,,,,Thursday,13:41:00,15:50:00,False,False
2015-07-17 04:00:00,112.84,113.59,112.65,113.59,34798804.0,2015-07-17,111.94,0.8040021440057225,0.8040021440057225,False,,0.5-1%,up,0.0893335715561857,,,,,Friday,10:29:00,15:44:00,False,False
2015-07-20 04:00:00,113.83,114.39,113.48,113.98,26539045.0,2015-07-20,113.59,0.2112862047715422,0.2112862047715422,True,2015-07-20 09:36:00-04:00,0.15-0.35%,up,0.0176071837309587,6.0,True,2015-07-20 09:53:00-04:00,0.0616251430583743,Monday,14:20:00,15:25:00,True,False
2015-07-22 04:00:00,112.17,113.169,112.165,112.62,35574962.0,2015-07-22,113.91,-1.5275217276797428,1.5275217276797428,False,,1.5%+,down,0.0043894302519493,,,,,Wednesday,13:23:00,14:20:00,False,False
2015-07-24 04:00:00,112.8,113.003,110.93,111.1,30844689.0,2015-07-24,112.2,0.534759358288765,0.534759358288765,True,2015-07-24 10:20:00-04:00,0.5-1%,up,0.053475935828879,50.0,False,2015-07-24 16:00:00-04:00,,Friday,15:57:00,12:00:00,True,True
2015-07-27 04:00:00,110.47,110.946,109.94,110.18,35994837.0,2015-07-27,111.1,-0.567056705670563,0.567056705670563,False,,0.5-1%,down,0.4050405040504076,,,,,Monday,13:37:00,09:38:00,False,True
2015-07-28 04:00:00,110.67,111.35,109.785,111.13,33553494.0,2015-07-28,110.18,0.4447268106734388,0.4447268106734388,True,2015-07-28 09:36:00-04:00,0.35-0.5%,up,0.0181521147213614,6.0,True,2015-07-28 12:16:00-04:00,0.3585042657469687,Tuesday,14:26:00,09:56:00,True,True
2015-07-29 04:00:00,111.37,111.79,110.94,111.55,26714068.0,2015-07-29,111.13,0.2159632862413471,0.2159632862413471,True,2015-07-29 09:49:00-04:00,0.15-0.35%,up,0.1439755241608896,19.0,True,2015-07-29 14:01:00-04:00,0.170970934941058,Wednesday,14:05:00,11:22:00,True,True
2015-07-30 04:00:00,111.29,112.2663,110.621,112.08,25438057.0,2015-07-30,111.55,-0.2330793366203414,0.2330793366203414,True,2015-07-30 11:30:00-04:00,0.15-0.35%,down,0.5782160466158764,120.0,False,2015-07-30 16:00:00-04:00,,Thursday,14:01:00,16:00:00,True,False
